Exam,Unit,Subject,Month,Year,Paper,Number,Section,Topic,Difficulty,Correct,Question,Answer A,Answer B,Answer C,Answer D,Validated Question Code,Validated Answer A Code,Validated Answer B Code,Validated Answer C Code,Validated Answer D Code,Q,A,B,C,D,Question Diagram Path Prefix,A Diagram Path Prefix,B Diagram Path Prefix,C Diagram Path Prefix,D Diagram Path Prefix
cape,1,Physics,May,2022,1,40,Thermal and Mechanical Properties of Matter,The Kinetic Theory of Gases,2,D,\text{The mean kinetic energy per molecule in a sample of a monoatomic gas is } ( 8.28 \times 10^{-21}\text{ J} ) \text{. What is the temperature of the gas?},250 \text{ K},300 \text{ K},350 \text{ K},400 \text{ K},"LaTeX(""The mean kinetic energy per molecule in a sample of a monoatomic gas is $( 8.28 \\times 10^{-21}$ J$)$. What is the temperature of the gas?"").parsingMode(.onlyEquations)","LaTeX(""$250$ K"").parsingMode(.onlyEquations)","LaTeX(""$300$ K"").parsingMode(.onlyEquations)","LaTeX(""$350$ K"").parsingMode(.onlyEquations)","LaTeX(""$400$ K"").parsingMode(.onlyEquations)",The mean kinetic energy per molecule in a sample of a monoatomic gas is $( 8.28 \times 10^{-21}$ J$)$. What is the temperature of the gas?,$250$ K,$300$ K,$350$ K,$400$ K,cape_1_physics_may_2022_1_40,cape_1_physics_may_2022_1_40_a,cape_1_physics_may_2022_1_40_b,cape_1_physics_may_2022_1_40_c,cape_1_physics_may_2022_1_40_d
cape,1,Physics,May,2022,1,41,Thermal and Mechanical Properties of Matter,The Kinetic Theory of Gases,3,C,\text{A cylindrical container of } ( 0.05 \text{ m}^3 ) \text{ holds 24 g of oxygen at } ( 47 \text{ }^\circ\text{C} ) \text{. The relative molar mass of oxygen is 32. What is the pressure exerted on the cylinder?},1.66 \times 10^3 \text{ Pa},5.86 \times 10^3 \text{ Pa},3.98 \times 10^4 \text{ Pa},7.09 \times 10^4 \text{ Pa},"LaTeX(""A cylindrical container of $( 0.05$ m$^3 )$ holds 24 g of oxygen at $( 47$ $^\\circ$C$)$. The relative molar mass of oxygen is 32. What is the pressure exerted on the cylinder?"").parsingMode(.onlyEquations)","LaTeX(""$1.66 \\times 10^3$ Pa"").parsingMode(.onlyEquations)","LaTeX(""$5.86 \\times 10^3$ Pa"").parsingMode(.onlyEquations)","LaTeX(""$3.98 \\times 10^4$ Pa"").parsingMode(.onlyEquations)","LaTeX(""$7.09 \\times 10^4$ Pa"").parsingMode(.onlyEquations)",A cylindrical container of $( 0.05$ m$^3 )$ holds 24 g of oxygen at $( 47$ $^\circ$C$)$. The relative molar mass of oxygen is 32. What is the pressure exerted on the cylinder?,$1.66 \times 10^3$ Pa,$5.86 \times 10^3$ Pa,$3.98 \times 10^4$ Pa,$7.09 \times 10^4$ Pa,cape_1_physics_may_2022_1_41,cape_1_physics_may_2022_1_41_a,cape_1_physics_may_2022_1_41_b,cape_1_physics_may_2022_1_41_c,cape_1_physics_may_2022_1_41_d
cape,2,Physics,May,2021,1,10,Electricity and Magnetism,Magnetic Fields,2,A,"\text{What is the magnetic flux density at the centre of a long solenoid, given that the number of turns per unit length is 12 turns per centimetre and the current passing is } ( 3 \text{ A} \text{?} )
\text{(Assume } ( \mu_o = 4 \pi \times 10^{-7} \text{ H m}^{-1} ) \text{.)}",144 \pi \times 10^{-5} \text{ T},1.44 \pi \times 10^{-5} \text{ T},144 \pi \text{ } \mu\text{T},144 \pi \text{ T},"LaTeX(""What is the magnetic flux density at the centre of a long solenoid, given that the number of turns per unit length is 12 turns per centimetre and the current passing is $( 3$ A?$)$\n(Assume $( \\mu_o = 4 \\pi \\times 10^{-7}$ H m$^{-1} )$.)"").parsingMode(.onlyEquations)","LaTeX(""$144 \\pi \\times 10^{-5}$ T"").parsingMode(.onlyEquations)","LaTeX(""$1.44 \\pi \\times 10^{-5}$ T"").parsingMode(.onlyEquations)","LaTeX(""$144 \\pi$ $\\mu$T"").parsingMode(.onlyEquations)","LaTeX(""$144 \\pi$ T"").parsingMode(.onlyEquations)","What is the magnetic flux density at the centre of a long solenoid, given that the number of turns per unit length is 12 turns per centimetre and the current passing is $( 3$ A?$)$
(Assume $( \mu_o = 4 \pi \times 10^{-7}$ H m$^{-1} )$.)",$144 \pi \times 10^{-5}$ T,$1.44 \pi \times 10^{-5}$ T,$144 \pi$ $\mu$T,$144 \pi$ T,cape_2_physics_may_2021_1_10,cape_2_physics_may_2021_1_10_a,cape_2_physics_may_2021_1_10_b,cape_2_physics_may_2021_1_10_c,cape_2_physics_may_2021_1_10_d
cape,2,Physics,May,2024,1,2,Electricity and Magnetism,Electrical Circuits,2,A,"\text{Item 2 refers to the following circuit diagram.}
\text{A thermistor is used in the circuit as shown above. It is found that there is a current of } ( 80 \text{ mA} ) \text{ from the supply. What is the current through the thermistor?}",0.03 \text{ A},0.05 \text{ A},0.08 \text{ A},0.13 \text{ A},"LaTeX(""Item 2 refers to the following circuit diagram.\nA thermistor is used in the circuit as shown above. It is found that there is a current of $( 80$ mA$)$ from the supply. What is the current through the thermistor?"").parsingMode(.onlyEquations)","LaTeX(""$0.03$ A"").parsingMode(.onlyEquations)","LaTeX(""$0.05$ A"").parsingMode(.onlyEquations)","LaTeX(""$0.08$ A"").parsingMode(.onlyEquations)","LaTeX(""$0.13$ A"").parsingMode(.onlyEquations)","Item 2 refers to the following circuit diagram.
A thermistor is used in the circuit as shown above. It is found that there is a current of $( 80$ mA$)$ from the supply. What is the current through the thermistor?",$0.03$ A,$0.05$ A,$0.08$ A,$0.13$ A,cape_2_physics_may_2024_1_2,cape_2_physics_may_2024_1_2_a,cape_2_physics_may_2024_1_2_b,cape_2_physics_may_2024_1_2_c,cape_2_physics_may_2024_1_2_d
cape,2,Physics,May,2024,1,4,Electricity and Magnetism,Electrical Circuits,3,B,"\text{Item 4 refers to the following diagram of a circuit containing a battery with e.m.f } ( 3.0 \text{ V} ) \text{ and internal resistance } ( 2.0 \text{ }\Omega ).
\text{What will the voltmeter read when the value on the resistance, R, is set at } ( 8.0 \text{ }\Omega )?",1.2 \text{ V},2.4 \text{ V},3.0 \text{ V},3.6 \text{ V},"LaTeX(""Item 4 refers to the following diagram of a circuit containing a battery with e.m.f $( 3.0$ V$)$ and internal resistance $( 2.0$ $\\Omega ).$\nWhat will the voltmeter read when the value on the resistance, R, is set at $( 8.0$ $\\Omega )?$"").parsingMode(.onlyEquations)","LaTeX(""$1.2$ V"").parsingMode(.onlyEquations)","LaTeX(""$2.4$ V"").parsingMode(.onlyEquations)","LaTeX(""$3.0$ V"").parsingMode(.onlyEquations)","LaTeX(""$3.6$ V"").parsingMode(.onlyEquations)","Item 4 refers to the following diagram of a circuit containing a battery with e.m.f $( 3.0$ V$)$ and internal resistance $( 2.0$ $\Omega ).$
What will the voltmeter read when the value on the resistance, R, is set at $( 8.0$ $\Omega )?$",$1.2$ V,$2.4$ V,$3.0$ V,$3.6$ V,cape_2_physics_may_2024_1_4,cape_2_physics_may_2024_1_4_a,cape_2_physics_may_2024_1_4_b,cape_2_physics_may_2024_1_4_c,cape_2_physics_may_2024_1_4_d
cape,2,Physics,May,2024,1,5,Electricity and Magnetism,Electrical Circuits,2,C,"\text{Item 5 refers to the following circuit diagram.}
\text{In the potential divider shown, the point X is to have a potential of } ( + 6.0 \text{ V} ). \text{ The resistance of R is}",450 \text{ k}\Omega,600 \text{ k}\Omega,700 \text{ k}\Omega,1200 \text{ k}\Omega,"LaTeX(""Item 5 refers to the following circuit diagram.\nIn the potential divider shown, the point X is to have a potential of $( + 6.0$ V$).$ The resistance of R is"").parsingMode(.onlyEquations)","LaTeX(""$450$ k$\\Omega$"").parsingMode(.onlyEquations)","LaTeX(""$600$ k$\\Omega$"").parsingMode(.onlyEquations)","LaTeX(""$700$ k$\\Omega$"").parsingMode(.onlyEquations)","LaTeX(""$1200$ k$\\Omega$"").parsingMode(.onlyEquations)","Item 5 refers to the following circuit diagram.
In the potential divider shown, the point X is to have a potential of $( + 6.0$ V$).$ The resistance of R is",$450$ k$\Omega$,$600$ k$\Omega$,$700$ k$\Omega$,$1200$ k$\Omega$,cape_2_physics_may_2024_1_5,cape_2_physics_may_2024_1_5_a,cape_2_physics_may_2024_1_5_b,cape_2_physics_may_2024_1_5_c,cape_2_physics_may_2024_1_5_d
cape,2,Physics,May,2024,1,6,Electricity and Magnetism,Electric Fields,3,A,\text{A beta particle passes a point } ( 100 \text{ nm} ) \text{ away from an alpha particle. What is the magnitude of the electrostatic force between the particles at that point?},4.6 \times 10^{-14}\text{ N},4.6 \times 10^{-21}\text{ N},4.6 \times 10^{-39}\text{ N},5.7 \times 10^{-59}\text{ N},"LaTeX(""A beta particle passes a point $( 100$ nm$)$ away from an alpha particle. What is the magnitude of the electrostatic force between the particles at that point?"").parsingMode(.onlyEquations)","LaTeX(""$4.6 \\times 10^{-14}$ N"").parsingMode(.onlyEquations)","LaTeX(""$4.6 \\times 10^{-21}$ N"").parsingMode(.onlyEquations)","LaTeX(""$4.6 \\times 10^{-39}$ N"").parsingMode(.onlyEquations)","LaTeX(""$5.7 \\times 10^{-59}$ N"").parsingMode(.onlyEquations)",A beta particle passes a point $( 100$ nm$)$ away from an alpha particle. What is the magnitude of the electrostatic force between the particles at that point?,$4.6 \times 10^{-14}$ N,$4.6 \times 10^{-21}$ N,$4.6 \times 10^{-39}$ N,$5.7 \times 10^{-59}$ N,cape_2_physics_may_2024_1_6,cape_2_physics_may_2024_1_6_a,cape_2_physics_may_2024_1_6_b,cape_2_physics_may_2024_1_6_c,cape_2_physics_may_2024_1_6_d
cape,2,Physics,May,2024,1,9,Electricity and Magnetism,Capacitors,1,C,\text{One farad is equivalent to},1 \text{ J C}^{-1},1 \text{ N C}^{-1},1 \text{ C V}^{-1},1 \text{ V C}^{-1},"LaTeX(""One farad is equivalent to"").parsingMode(.onlyEquations)","LaTeX(""$1$ J C$^{-1}$"").parsingMode(.onlyEquations)","LaTeX(""$1$ N C$^{-1}$"").parsingMode(.onlyEquations)","LaTeX(""$1$ C V$^{-1}$"").parsingMode(.onlyEquations)","LaTeX(""$1$ V C$^{-1}$"").parsingMode(.onlyEquations)",One farad is equivalent to,$1$ J C$^{-1}$,$1$ N C$^{-1}$,$1$ C V$^{-1}$,$1$ V C$^{-1}$,cape_2_physics_may_2024_1_9,cape_2_physics_may_2024_1_9_a,cape_2_physics_may_2024_1_9_b,cape_2_physics_may_2024_1_9_c,cape_2_physics_may_2024_1_9_d
cape,2,Physics,May,2024,1,13,Electricity and Magnetism,Magnetic Forces,3,C,"\text{A conductor of mass } ( 2.0 \times 10^{-3}\text{ kg} ), \text{ carrying a current of } ( 2.0 \text{ A} ), \text{ is balanced by a magnetic field at right angles to it. If the length of the conductor is } ( 8.0 \text{ cm} ), \text{ the magnetic field strength is}",1.23 \times 10^{-5}\text{ T},1.23 \times 10^{-4}\text{ T},1.23 \times 10^{-1}\text{ T},1.23 \times 10^0 \text{ T},"LaTeX(""A conductor of mass $( 2.0 \\times 10^{-3}$ kg$),$ carrying a current of $( 2.0$ A$),$ is balanced by a magnetic field at right angles to it. If the length of the conductor is $( 8.0$ cm$),$ the magnetic field strength is"").parsingMode(.onlyEquations)","LaTeX(""$1.23 \\times 10^{-5}$ T"").parsingMode(.onlyEquations)","LaTeX(""$1.23 \\times 10^{-4}$ T"").parsingMode(.onlyEquations)","LaTeX(""$1.23 \\times 10^{-1}$ T"").parsingMode(.onlyEquations)","LaTeX(""$1.23 \\times 10^0$ T"").parsingMode(.onlyEquations)","A conductor of mass $( 2.0 \times 10^{-3}$ kg$),$ carrying a current of $( 2.0$ A$),$ is balanced by a magnetic field at right angles to it. If the length of the conductor is $( 8.0$ cm$),$ the magnetic field strength is",$1.23 \times 10^{-5}$ T,$1.23 \times 10^{-4}$ T,$1.23 \times 10^{-1}$ T,$1.23 \times 10^0$ T,cape_2_physics_may_2024_1_13,cape_2_physics_may_2024_1_13_a,cape_2_physics_may_2024_1_13_b,cape_2_physics_may_2024_1_13_c,cape_2_physics_may_2024_1_13_d
cape,2,Physics,May,2024,1,14,Electricity and Magnetism,Magnetic Forces,3,D,\text{A straight wire } ( 1 \text{ m} ) \text{ long is placed at an angle of } ( 30^\circ ) \text{ in a magnetic field of flux density } ( 0.2 \text{ T} ). \text{ It experiences a force of } ( 0.5 \text{ N} ). \text{ What is the current in the wire?},0.5 \text{ A},1.0 \text{ A},2.5 \text{ A},5.0 \text{ A},"LaTeX(""A straight wire $( 1$ m$)$ long is placed at an angle of $( 30^\\circ )$ in a magnetic field of flux density $( 0.2$ T$).$ It experiences a force of $( 0.5$ N$).$ What is the current in the wire?"").parsingMode(.onlyEquations)","LaTeX(""$0.5$ A"").parsingMode(.onlyEquations)","LaTeX(""$1.0$ A"").parsingMode(.onlyEquations)","LaTeX(""$2.5$ A"").parsingMode(.onlyEquations)","LaTeX(""$5.0$ A"").parsingMode(.onlyEquations)",A straight wire $( 1$ m$)$ long is placed at an angle of $( 30^\circ )$ in a magnetic field of flux density $( 0.2$ T$).$ It experiences a force of $( 0.5$ N$).$ What is the current in the wire?,$0.5$ A,$1.0$ A,$2.5$ A,$5.0$ A,cape_2_physics_may_2024_1_14,cape_2_physics_may_2024_1_14_a,cape_2_physics_may_2024_1_14_b,cape_2_physics_may_2024_1_14_c,cape_2_physics_may_2024_1_14_d
cape,2,Physics,May,2024,1,16,Electricity and Magnetism,Electrical Circuits,3,C,"\text{Item 16 refers to the following circuit diagram.}
\text{The battery has negligible internal resistance. Which pair of resistance values would make the voltage between X and Y equal to } ( 1.5 \text{ V} )?","R_1 = 10 \text{ k}\Omega, R_2 = 20 \text{ k}\Omega","R_1 = 10 \text{ k}\Omega, R_2 = 50 \text{ k}\Omega","R_1 = 30 \text{ k}\Omega, R_2 = 10 \text{ k}\Omega","R_1 = 40 \text{ k}\Omega, R_2 = 10 \text{ k}\Omega","LaTeX(""Item 16 refers to the following circuit diagram.\nThe battery has negligible internal resistance. Which pair of resistance values would make the voltage between X and Y equal to $( 1.5$ V$)?$"").parsingMode(.onlyEquations)","LaTeX(""$R_1 = 10$ k$\\Omega, R_2 = 20$ k$\\Omega$"").parsingMode(.onlyEquations)","LaTeX(""$R_1 = 10$ k$\\Omega, R_2 = 50$ k$\\Omega$"").parsingMode(.onlyEquations)","LaTeX(""$R_1 = 30$ k$\\Omega, R_2 = 10$ k$\\Omega$"").parsingMode(.onlyEquations)","LaTeX(""$R_1 = 40$ k$\\Omega, R_2 = 10$ k$\\Omega$"").parsingMode(.onlyEquations)","Item 16 refers to the following circuit diagram.
The battery has negligible internal resistance. Which pair of resistance values would make the voltage between X and Y equal to $( 1.5$ V$)?$","$R_1 = 10$ k$\Omega, R_2 = 20$ k$\Omega$","$R_1 = 10$ k$\Omega, R_2 = 50$ k$\Omega$","$R_1 = 30$ k$\Omega, R_2 = 10$ k$\Omega$","$R_1 = 40$ k$\Omega, R_2 = 10$ k$\Omega$",cape_2_physics_may_2024_1_16,cape_2_physics_may_2024_1_16_a,cape_2_physics_may_2024_1_16_b,cape_2_physics_may_2024_1_16_c,cape_2_physics_may_2024_1_16_d
cape,2,Physics,May,2024,1,23,A.C. Theory and Electronics,Operational Amplifiers,3,D,"\text{Item 23 refers to the following diagram which shows a summing amplifier.}
\text{What would be the output, } ( V_0 ), \text{ given that } ( V_1 = V_3 = 1 \text{ V} ) \text{ and } ( V_2 = 0 )?",-2 \text{ V},-3 \text{ V},-4 \text{ V},-5 \text{ V},"LaTeX(""Item 23 refers to the following diagram which shows a summing amplifier.\nWhat would be the output, $( V_0 ),$ given that $( V_1 = V_3 = 1$ V$)$ and $( V_2 = 0 )?$"").parsingMode(.onlyEquations)","LaTeX(""$-2$ V"").parsingMode(.onlyEquations)","LaTeX(""$-3$ V"").parsingMode(.onlyEquations)","LaTeX(""$-4$ V"").parsingMode(.onlyEquations)","LaTeX(""$-5$ V"").parsingMode(.onlyEquations)","Item 23 refers to the following diagram which shows a summing amplifier.
What would be the output, $( V_0 ),$ given that $( V_1 = V_3 = 1$ V$)$ and $( V_2 = 0 )?$",$-2$ V,$-3$ V,$-4$ V,$-5$ V,cape_2_physics_may_2024_1_23,cape_2_physics_may_2024_1_23_a,cape_2_physics_may_2024_1_23_b,cape_2_physics_may_2024_1_23_c,cape_2_physics_may_2024_1_23_d
cape,2,Physics,May,2024,1,24,A.C. Theory and Electronics,Operational Amplifiers,4,A,"\text{Item 24 refers to the following op-amp voltage comparator.}
\text{The supply voltage to the op-amp is } ( + 9 \text{ V} ). \text{ If the open loop gain is } ( 10^5 ) \text{ and } ( V_2 = 0 ), \text{ what is the maximum input voltage swing, } ( V_1 ), \text{ for linear amplification?}",+ 90 \text{ }\mu\text{V},+ 9 \text{ }\mu\text{V},+ 9 \text{ V},+ 18 \text{ V},"LaTeX(""Item 24 refers to the following op-amp voltage comparator.\nThe supply voltage to the op-amp is $( + 9$ V$).$ If the open loop gain is $( 10^5 )$ and $( V_2 = 0 ),$ what is the maximum input voltage swing, $( V_1 ),$ for linear amplification?"").parsingMode(.onlyEquations)","LaTeX(""$+ 90$ $\\mu$V"").parsingMode(.onlyEquations)","LaTeX(""$+ 9$ $\\mu$V"").parsingMode(.onlyEquations)","LaTeX(""$+ 9$ V"").parsingMode(.onlyEquations)","LaTeX(""$+ 18$ V"").parsingMode(.onlyEquations)","Item 24 refers to the following op-amp voltage comparator.
The supply voltage to the op-amp is $( + 9$ V$).$ If the open loop gain is $( 10^5 )$ and $( V_2 = 0 ),$ what is the maximum input voltage swing, $( V_1 ),$ for linear amplification?",$+ 90$ $\mu$V,$+ 9$ $\mu$V,$+ 9$ V,$+ 18$ V,cape_2_physics_may_2024_1_24,cape_2_physics_may_2024_1_24_a,cape_2_physics_may_2024_1_24_b,cape_2_physics_may_2024_1_24_c,cape_2_physics_may_2024_1_24_d
cape,2,Physics,May,2024,1,25,A.C. Theory and Electronics,Operational Amplifiers,3,C,\text{An operational amplifier circuit has a gain of } ( 10^3 ) \text{ and a bandwidth of } ( 10^3 \text{ Hz} ). \text{ What is the approximate bandwidth when the gain is reduced to 10?},10 \text{ Hz},10^3 \text{ Hz},10^5 \text{ Hz},10^7 \text{ Hz},"LaTeX(""An operational amplifier circuit has a gain of $( 10^3 )$ and a bandwidth of $( 10^3$ Hz$).$ What is the approximate bandwidth when the gain is reduced to 10?"").parsingMode(.onlyEquations)","LaTeX(""$10$ Hz"").parsingMode(.onlyEquations)","LaTeX(""$10^3$ Hz"").parsingMode(.onlyEquations)","LaTeX(""$10^5$ Hz"").parsingMode(.onlyEquations)","LaTeX(""$10^7$ Hz"").parsingMode(.onlyEquations)",An operational amplifier circuit has a gain of $( 10^3 )$ and a bandwidth of $( 10^3$ Hz$).$ What is the approximate bandwidth when the gain is reduced to 10?,$10$ Hz,$10^3$ Hz,$10^5$ Hz,$10^7$ Hz,cape_2_physics_may_2024_1_25,cape_2_physics_may_2024_1_25_a,cape_2_physics_may_2024_1_25_b,cape_2_physics_may_2024_1_25_c,cape_2_physics_may_2024_1_25_d
cape,2,Physics,May,2024,1,31,Atomic and Nuclear Physics,Particulate Nature of Electromagnetic Radistion,3,B,\text{What is the de Broglie wavelength of an Olympic sprinter of mass 60 kg when running at a speed of } ( 10 \text{ m s}^{-1} )?,2.2 \times 10^{-37}\text{ m},1.1 \times 10^{-36}\text{ m},1.1 \times 10^{-35}\text{ m},6.6 \times 10^{-35}\text{ m},"LaTeX(""What is the de Broglie wavelength of an Olympic sprinter of mass 60 kg when running at a speed of $( 10$ m s$^{-1} )?$"").parsingMode(.onlyEquations)","LaTeX(""$2.2 \\times 10^{-37}$ m"").parsingMode(.onlyEquations)","LaTeX(""$1.1 \\times 10^{-36}$ m"").parsingMode(.onlyEquations)","LaTeX(""$1.1 \\times 10^{-35}$ m"").parsingMode(.onlyEquations)","LaTeX(""$6.6 \\times 10^{-35}$ m"").parsingMode(.onlyEquations)",What is the de Broglie wavelength of an Olympic sprinter of mass 60 kg when running at a speed of $( 10$ m s$^{-1} )?$,$2.2 \times 10^{-37}$ m,$1.1 \times 10^{-36}$ m,$1.1 \times 10^{-35}$ m,$6.6 \times 10^{-35}$ m,cape_2_physics_may_2024_1_31,cape_2_physics_may_2024_1_31_a,cape_2_physics_may_2024_1_31_b,cape_2_physics_may_2024_1_31_c,cape_2_physics_may_2024_1_31_d
cape,2,Physics,May,2024,1,32,Atomic and Nuclear Physics,Atomic Structure,2,C,"\text{Item 32 refers to the following diagram which shows some of the energy levels for electrons in an isolated lithium atom. The energy levels are given in electron-volts.}
\text{The outer electron of a lithium atom is in the } ( -8.68 \text{ eV} ) \text{ level. How much energy is required to ionize the atom?}",2.0 \times 10^{-19}\text{ J},5.8 \times 10^{-9}\text{ J},1.4 \times 10^{-18}\text{ J},8.7 \times 10^{-19}\text{ J},"LaTeX(""Item 32 refers to the following diagram which shows some of the energy levels for electrons in an isolated lithium atom. The energy levels are given in electron-volts.\nThe outer electron of a lithium atom is in the $( -8.68$ eV$)$ level. How much energy is required to ionize the atom?"").parsingMode(.onlyEquations)","LaTeX(""$2.0 \\times 10^{-19}$ J"").parsingMode(.onlyEquations)","LaTeX(""$5.8 \\times 10^{-9}$ J"").parsingMode(.onlyEquations)","LaTeX(""$1.4 \\times 10^{-18}$ J"").parsingMode(.onlyEquations)","LaTeX(""$8.7 \\times 10^{-19}$ J"").parsingMode(.onlyEquations)","Item 32 refers to the following diagram which shows some of the energy levels for electrons in an isolated lithium atom. The energy levels are given in electron-volts.
The outer electron of a lithium atom is in the $( -8.68$ eV$)$ level. How much energy is required to ionize the atom?",$2.0 \times 10^{-19}$ J,$5.8 \times 10^{-9}$ J,$1.4 \times 10^{-18}$ J,$8.7 \times 10^{-19}$ J,cape_2_physics_may_2024_1_32,cape_2_physics_may_2024_1_32_a,cape_2_physics_may_2024_1_32_b,cape_2_physics_may_2024_1_32_c,cape_2_physics_may_2024_1_32_d
cape,2,Physics,May,2024,1,34,Atomic and Nuclear Physics,Particulate Nature of Electromagnetic Radistion,3,A,\text{A metal surface has a work function of } ( 3.8 \text{ eV} ). \text{ What is the threshold wavelength for this metal?},3.27 \times 10^{-7}\text{ m},9.17 \times 10^{14}\text{ m},1.09 \times 10^{15}\text{ m},6.08 \times 10^{19}\text{ m},"LaTeX(""A metal surface has a work function of $( 3.8$ eV$).$ What is the threshold wavelength for this metal?"").parsingMode(.onlyEquations)","LaTeX(""$3.27 \\times 10^{-7}$ m"").parsingMode(.onlyEquations)","LaTeX(""$9.17 \\times 10^{14}$ m"").parsingMode(.onlyEquations)","LaTeX(""$1.09 \\times 10^{15}$ m"").parsingMode(.onlyEquations)","LaTeX(""$6.08 \\times 10^{19}$ m"").parsingMode(.onlyEquations)",A metal surface has a work function of $( 3.8$ eV$).$ What is the threshold wavelength for this metal?,$3.27 \times 10^{-7}$ m,$9.17 \times 10^{14}$ m,$1.09 \times 10^{15}$ m,$6.08 \times 10^{19}$ m,cape_2_physics_may_2024_1_34,cape_2_physics_may_2024_1_34_a,cape_2_physics_may_2024_1_34_b,cape_2_physics_may_2024_1_34_c,cape_2_physics_may_2024_1_34_d
cape,2,Physics,May,2024,1,35,Atomic and Nuclear Physics,Particulate Nature of Electromagnetic Radistion,3,B,\text{The kinetic energy of a photoelectron is given as } ( 7 \text{ eV} ). \text{ The velocity of the electron is},1.1 \times 10^6 \text{ m s}^{-1},1.6 \times 10^6 \text{ m s}^{-1},6.2 \times 10^{11}\text{ m s}^{-1},2.5 \times 10^{12}\text{ m s}^{-1},"LaTeX(""The kinetic energy of a photoelectron is given as $( 7$ eV$).$ The velocity of the electron is"").parsingMode(.onlyEquations)","LaTeX(""$1.1 \\times 10^6$ m s$^{-1}$"").parsingMode(.onlyEquations)","LaTeX(""$1.6 \\times 10^6$ m s$^{-1}$"").parsingMode(.onlyEquations)","LaTeX(""$6.2 \\times 10^{11}$ m s$^{-1}$"").parsingMode(.onlyEquations)","LaTeX(""$2.5 \\times 10^{12}$ m s$^{-1}$"").parsingMode(.onlyEquations)",The kinetic energy of a photoelectron is given as $( 7$ eV$).$ The velocity of the electron is,$1.1 \times 10^6$ m s$^{-1}$,$1.6 \times 10^6$ m s$^{-1}$,$6.2 \times 10^{11}$ m s$^{-1}$,$2.5 \times 10^{12}$ m s$^{-1}$,cape_2_physics_may_2024_1_35,cape_2_physics_may_2024_1_35_a,cape_2_physics_may_2024_1_35_b,cape_2_physics_may_2024_1_35_c,cape_2_physics_may_2024_1_35_d
cape,2,Physics,May,2024,1,38,Atomic and Nuclear Physics,Atomic Mass,3,C,\text{How much energy would be released in a nuclear fission reaction if the mass defect is } ( 0.00687 \text{ u} )?,0.02 \text{ MeV},1.09 \text{ MeV},6.39 \text{ MeV},7.04 \text{ MeV},"LaTeX(""How much energy would be released in a nuclear fission reaction if the mass defect is $( 0.00687$ u$)?$"").parsingMode(.onlyEquations)","LaTeX(""$0.02$ MeV"").parsingMode(.onlyEquations)","LaTeX(""$1.09$ MeV"").parsingMode(.onlyEquations)","LaTeX(""$6.39$ MeV"").parsingMode(.onlyEquations)","LaTeX(""$7.04$ MeV"").parsingMode(.onlyEquations)",How much energy would be released in a nuclear fission reaction if the mass defect is $( 0.00687$ u$)?$,$0.02$ MeV,$1.09$ MeV,$6.39$ MeV,$7.04$ MeV,cape_2_physics_may_2024_1_38,cape_2_physics_may_2024_1_38_a,cape_2_physics_may_2024_1_38_b,cape_2_physics_may_2024_1_38_c,cape_2_physics_may_2024_1_38_d
cape,2,Physics,May,2024,1,43,Atomic and Nuclear Physics,Radioactivity,2,D,\text{What is the half-life for a radioactive isotope containing } ( 10^{20} ) \text{ atoms with a decay constant of } ( 1.60 \times 10^{-5}\text{ hour}^{-1} )?,1.20 \times 10^{-19}\text{ hours},4.33 \times 10^{-16}\text{ hours},1.19 \times 10^1 \text{ hours},4.33 \times 10^4 \text{ hours},"LaTeX(""What is the half-life for a radioactive isotope containing $( 10^{20} )$ atoms with a decay constant of $( 1.60 \\times 10^{-5}$ hour$^{-1} )?$"").parsingMode(.onlyEquations)","LaTeX(""$1.20 \\times 10^{-19}$ hours"").parsingMode(.onlyEquations)","LaTeX(""$4.33 \\times 10^{-16}$ hours"").parsingMode(.onlyEquations)","LaTeX(""$1.19 \\times 10^1$ hours"").parsingMode(.onlyEquations)","LaTeX(""$4.33 \\times 10^4$ hours"").parsingMode(.onlyEquations)",What is the half-life for a radioactive isotope containing $( 10^{20} )$ atoms with a decay constant of $( 1.60 \times 10^{-5}$ hour$^{-1} )?$,$1.20 \times 10^{-19}$ hours,$4.33 \times 10^{-16}$ hours,$1.19 \times 10^1$ hours,$4.33 \times 10^4$ hours,cape_2_physics_may_2024_1_43,cape_2_physics_may_2024_1_43_a,cape_2_physics_may_2024_1_43_b,cape_2_physics_may_2024_1_43_c,cape_2_physics_may_2024_1_43_d
